2017-09-23 00:00:00,53086,33879107
2017-09-24 00:00:00,52145,33696828
2017-09-25 00:00:00,52454,34362063
2017-09-26 00:00:00,51971,33931670
2017-09-27 00:00:00,51250,34505792
2017-09-28 00:00:00,49476,34395155
2017-09-29 00:00:00,50299,34360768
2017-09-30 00:00:00,56853,35267522
2017-10-01 00:00:00,45274,33731656
2017-10-02 00:00:00,39484,31111690
2017-10-03 00:00:00,37777,30244108
2017-10-04 00:00:00,39355,30337670
2017-10-05 00:00:00,40693,30687899
2017-10-06 00:00:00,41048,31503230
2017-10-07 00:00:00,39786,31870421
2017-10-08 00:00:00,41246,32826132
2017-10-09 00:00:00,43350,33349436
2017-10-10 00:00:00,47114,33954139
2017-10-11 00:00:00,51118,34768253
2017-10-12 00:00:00,55995,35215814
2017-10-13 00:00:00,64033,36031867
2017-10-14 00:00:00,55156,34594882
2017-10-15 00:00:00,54572,34350837
2017-10-16 00:00:00,59652,35209436
2017-10-17 00:00:00,76151,36610081
2017-10-18 00:00:00,66558,34939235
2017-10-19 00:00:00,64069,34741195
2017-10-20 00:00:00,61798,34497899
2017-10-21 00:00:00,74578,35598104
2017-10-22 00:00:00,66960,34729030
2017-10-23 00:00:00,64392,34722630
2017-10-23 00:00:00,64392,34722630
